,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
75,600519.XSHG,600519,贵州茅台,XSHG,2018-04-26,690.97,690.97,692.0,692.28,673.0,678.23,3504790,2378744475,17514,0.0028,0.9514423013,851991033894,851991033894,-0.0184,31.4627,31.4627,9.3163,1,678.712
76,600519.XSHG,600519,贵州茅台,XSHG,2018-04-27,678.23,678.23,685.25,688.36,655.0,662.53,5791521,3866680412,27693,0.0046,0.9514423013,832268728434,832268728434,-0.0231,30.7344,30.7344,9.1007,1,667.645
77,600519.XSHG,600519,贵州茅台,XSHG,2018-05-02,662.53,662.53,660.0,668.99,645.06,667.83,7025911,4589885607,30054,0.0056,0.9514423013,838926576774,838926576774,0.008,28.4738,24.6543,8.3928,1,653.28
78,600519.XSHG,600519,贵州茅台,XSHG,2018-05-03,667.83,667.83,666.0,673.68,658.0,670.88,3632653,2426248236,18549,0.0029,0.9514423013,842757980064,842757980064,0.0046,28.6038,24.7669,8.4311,1,667.9
79,600519.XSHG,600519,贵州茅台,XSHG,2018-05-04,670.88,670.88,670.98,674.83,660.57,662.87,3737584,2492610223,23014,0.003,0.9514423013,832695835686,832695835686,-0.0119,28.2623,24.4712,8.3305,1,666.904
80,600519.XSHG,600519,贵州茅台,XSHG,2018-05-07,662.87,662.87,659.95,701.88,657.77,698.17,8559143,5858519223,38199,0.0068,0.9514423013,877039618026,877039618026,0.0533,29.7673,25.7743,8.7741,1,684.475
81,600519.XSHG,600519,贵州茅台,XSHG,2018-05-08,698.17,698.17,698.03,712.13,698.03,708.83,6249783,4414037853,26361,0.005,0.9514423013,890430686574,890430686574,0.0153,30.2218,26.1679,8.9081,1,706.271
82,600519.XSHG,600519,贵州茅台,XSHG,2018-05-09,708.83,708.83,709.08,712.3,697.12,701.95,3233106,2267880036,16424,0.0026,0.9514423013,881788045710,881788045710,-0.0097,29.9285,25.9139,8.8216,1,701.456
83,600519.XSHG,600519,贵州茅台,XSHG,2018-05-10,701.95,701.95,703.5,716.0,703.5,714.19,3929380,2794919589,17813,0.0031,0.9514423013,897163906782,897163906782,0.0174,30.4504,26.3658,8.9754,1,711.288
84,600519.XSHG,600519,贵州茅台,XSHG,2018-05-11,714.19,714.19,718.69,730.5,715.7,718.02,3914165,2826877192,18479,0.0031,0.9514423013,901975144356,901975144356,0.0054,30.6137,26.5071,9.0235,1,722.217
85,600519.XSHG,600519,贵州茅台,XSHG,2018-05-14,718.02,718.02,724.0,743.0,724.0,742.41,5101471,3753818029,22790,0.0041,0.9514423013,932613808698,932613808698,0.034,31.6536,27.4075,9.3301,1,735.831
86,600519.XSHG,600519,贵州茅台,XSHG,2018-05-15,742.41,742.41,746.0,746.44,734.0,743.06,3805580,2811622722,18273,0.003,0.9514423013,933430337268,933430337268,0.0009,31.6813,27.4315,9.3382,1,738.816
87,600519.XSHG,600519,贵州茅台,XSHG,2018-05-16,743.06,743.06,740.0,745.66,733.28,734.52,3079520,2275092450,14920,0.0025,0.9514423013,922702408056,922702408056,-0.0115,31.3172,27.1163,9.2309,1,738.782
88,600519.XSHG,600519,贵州茅台,XSHG,2018-05-17,734.52,734.52,735.12,737.5,724.0,727.38,2851793,2077476640,13712,0.0023,0.9514423013,913733155764,913733155764,-0.0097,31.0127,26.8527,9.1412,1,728.481
89,600519.XSHG,600519,贵州茅台,XSHG,2018-05-18,727.38,727.38,723.99,741.0,721.19,739.32,2925517,2140724039,13962,0.0023,0.9514423013,928732157496,928732157496,0.0164,31.5218,27.2935,9.2912,1,731.742
